LCG,MARKET INTELLIGENCE / RANKINGS,,,,,,,,,,,
Las 500 Empresas más importantes de México,,,,,,,,,,,,
Fuente: Expansión · 500empresas.expansion.mx · Edición 2025,,,,,,,,,,,,
,,,,,,,,,,,,
Rank,Empresa,Sector,País,Ventas (MDP),Utilidad Neta (MDP),Utilidad de Operación (MDP),Activo Total (MDP),Pasivo Total (MDP),Empleados,ROE (%),Datos gobernanza (sin separar — verificar en sitio),Ranking Ganado
173,IDEAL,Infraestructura,México,"28,283.10","14,783.90","15,730.20","145,176.50","73,786.80","3,208",20.7,ndndnd17211.8nd,-6
174,Grupo Surman,Automotriz y autopartes,México,"28,263.00",n.d.,n.d.,n.d.,n.d.,"5,717",n.d.,12325512045.2,15
175,Maersk México,Logística y transporte,Dinamarca,"28,246.50",n.d.,n.d.,"11,448.60",n.d.,"1,700",n.d.,ndndndndndndnd,11
176,Invex Controladora,Servicios financieros,México,"28,175.00","1,476.00","1,733.00","175,665.00","165,794.00","1,172",15.0,547131616.341,14
177,Naturgy México,Petróleo y gas,España,"27,962.00","6,563.00","9,376.00","49,930.00","25,194.00",,72026.5,91910 11031.5,-16
178,BanCoppel,Servicios financieros,México,"27,686.00","2,558.00","3,724.00","169,222.00","149,900.00","16,800",13.2,942527ndndnd63.9,-1
179,Ingredion México,Agroindustria,Estados Unidos,"27,549.00",n.d.,n.d.,n.d.,n.d.,"2,012",n.d.,833811436.418,-16
180,Chubb Seguros México,Seguros y fianzas,Estados Unidos,"27,320.40",328.70,623.00,"53,307.20","47,337.70","2,382",5.5,ndndndndndndnd,3
181,Grupo Axo,Comercio departamental,México,"27,179.90",n.d.,n.d.,n.d.,n.d.,"11,000",n.d.,ndndndndndndnd,3
182,Grupo Vidanta,Hotelería y turismo,México,"27,030.00",n.d.,n.d.,n.d.,n.d.,"17,000",n.d.,ndndndndndndnd,-12
183,Industrias Martinrea de México,Automotriz y autopartes,Canadá,"26,554.20",n.d.,n.d.,"11,956.40",n.d.,"9,000",n.d.,ndndndndndndnd,-10
184,Organización Cultiba,Alimentos y bebidas,México,"26,537.00","1,103.00","2,408.00","16,104.00",27.00,n.d.,6.9,ndnd017422.230,-2
185,Philip Morris México,Bebidas alcohólicas y tabaco,Estados Unidos,"26,453.70",n.d.,n.d.,n.d.,n.d.,"2,500",n.d.,ndndndndndndnd,10
186,Plastic Omnium México,Automotriz y autopartes,Francia,"26,450.20",n.d.,n.d.,"4,930.80",n.d.,"4,211",n.d.,ndndndndndndnd,-8
187,Grupo AlEn,Productos de consumo,México,"26,250.00",n.d.,n.d.,n.d.,n.d.,"6,000",n.d.,ndndndndndndnd,n.d.
188,Xignux Alimentos,Alimentos y bebidas,México,"26,242.00",n.d.,n.d.,n.d.,n.d.,"17,420",n.d.,ndndndndndndnd,-12
189,Rassini,Automotriz y autopartes,México,"26,010.00",n.d.,n.d.,n.d.,n.d.,"6,400",n.d.,ndndndndndndnd,-15
190,Telefónica Movistar México,Telecomunicaciones,España,"25,818.00",n.d.,n.d.,n.d.,n.d.,"1,603",n.d.,6219319444.438.4,-15
191,Allianz México,Seguros y fianzas,Alemania,"25,374.40",679.40,"(9,166.70)","90,534.10","85,783.50",n.d.,14.3,ndndndndndndnd,8
192,Seguros Atlas,Seguros y fianzas,México,"25,199.10","1,336.80","(1,254.70)","43,524.50","35,137.70","1,500",15.9,ndndndndndndnd,6
193,Grupo,Cemento,México,"25,051.20","5,972.90","7,117.20","55,117.80","19,319.10","3,254",16.7,ndnd1114314nd,-6
194,Linde México,Química y petroquímica,Reino Unido,"24,672.20",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndndndndndnd,-1
195,Office Depot,Comercio especializado,México/Estados Unidos,"24,659.00",n.d.,n.d.,n.d.,n.d.,"10,460",n.d.,911130042,-10
196,Siemens México,Tecnología diversificada,Alemania,"24,000.00",n.d.,n.d.,n.d.,n.d.,"6,200",n.d.,ndndndndndndnd,7
197,Brookfield Business Partners México,Servicios financieros,Canadá,"23,920.70",n.d.,n.d.,"54,916.70",n.d.,n.d.,n.d.,ndndndndndndnd,3
198,Cinemex,Entretenimiento,México,"23,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-10
199,Bank of America México,Servicios financieros,Estados Unidos,"23,097.00","2,999.00","3,876.00","153,658.00","131,767.00",,38513.7,431842ndndnd44.9,39
200,Grupo Jumex,Alimentos y bebidas,México,"23,000.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-6
201,Tiendas Neto,Comercio autoservicio,México,"23,000.00",n.d.,n.d.,n.d.,n.d.,"12,000",n.d.,ndndndndndndnd,3
202,Dow,Química y petroquímica,Estados Unidos,"22,838.40",n.d.,n.d.,n.d.,n.d.,240,n.d.,ndndndnanana41.3,-10
203,Grupo Indi,Construcción,México,"22,165.50",n.d.,n.d.,n.d.,n.d.,"2,000",n.d.,ndndndndndndnd,20
204,Bepensa,Alimentos y bebidas,México,"21,686.60","1,098.70","2,167.50","14,268.80","8,831.40","10,884",20.2,ndnd0300nd,4
205,Zurich Santander Seguros México,Seguros y fianzas,Suiza/España,"21,640.80","3,887.10","1,768.00","41,080.30","36,242.90",,33280.4,ndndndndndndnd,-9
206,Grupo Industrial Saltillo,Automotriz y autopartes,México,"20,994.00",(13.00),547.00,"25,092.00","13,522.00","5,900",(0.1),80014214.324,16
207,Henkel México,Productos de consumo,Alemania,"20,598.00",n.d.,n.d.,n.d.,n.d.,"3,412",n.d.,114366233.341.,55
208,Peña Verde,Seguros y fianzas,México,"20,560.70","1,266.30",58.70,"44,062.60","38,585.10",,97423.1,ndnd01011051,28
209,Torex Gold,Minería,Canadá,"20,447.10","2,467.20","8,582.10","39,222.50",n.d.,"1,200",n.d.,ndndndndndndnd,36
210,Grupo Hermes,Holding,México,"20,177.00","2,049.00","3,649.00","32,198.00","24,872.00","5,402",26.9,214198112.524,-13
211,Essity México,Productos de consumo,Suecia,"20,070.00",n.d.,n.d.,n.d.,n.d.,"4,068",n.d.,62336233.337,-1
212,Ishop & Mixup,Comercio especializado,México,"20,025.40",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndndndndndnd,-5
213,Corporación Moctezuma,Cemento,Italia/España,"19,797.30","6,521.40","8,098.60","18,868.20","3,487.90","1,347",42.4,ndnd131616.313.5,-7
214,Actinver,Servicios financieros,México,"19,681.00","1,404.00","1,927.00","146,437.00","136,705.00","2,306",14.4,1022021004,82
215,Crown Cork,Vidrio y envases,Estados Unidos,"19,608.00",n.d.,n.d.,"33,218.40",n.d.,"2,337",n.d.,600nanana10,-13
216,Grupo Financiero B×+,Servicios financieros,México,"19,487.00","1,153.00","1,356.00","120,551.00","109,845.00","1,093",10.8,9002213.351,-3
217,Grupo Pinsa,Alimentos y bebidas,México,"19,391.00",n.d.,n.d.,n.d.,n.d.,"7,880",n.d.,512063504,22
218,Grupo Financiero BASE,Servicios financieros,México,"19,369.00","2,044.00","2,843.00","145,365.00","137,916.00","1,242",27.4,1332370046,17
219,Grupo Financiero Mifel,Servicios financieros,México,"19,160.00","2,733.00","3,394.00","144,976.00","131,288.00","1,732",20.0,1163429130047.2,13
220,Banjército,Servicios financieros,México,"19,119.70","4,122.10","5,348.80","239,180.70","184,745.30","2,076",7.6,nanananananand,-58
221,L'Oréal Groupe,Cuidado personal,Francia,"19,022.70",n.d.,n.d.,n.d.,n.d.,"2,044",n.d.,ndndndndndndnd,-6
222,Aeropuerto Internacional de la CDMX,Servicios aeroportuarios,México,"18,828.70","4,794.30","13,893.90","18,042.20","4,148.30","1,265",n.d.,ndndndndndndnd,-11
223,Genomma Lab Internacional,Productos de consumo,México,"18,606.90","1,493.10","3,922.50","23,017.80","12,132.90","1,605",13.7,ndnd3212216.746.,88
224,Pinfra,Infraestructura,México,"18,603.80","10,779.50","10,930.20","83,538.70","18,148.80","3,337",16.5,ndnd13811127.5,23
225,Grupo Kaltex,Textil y confección,México,"18,530.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,0
226,Boehringer Ingelheim,Química farmacéutica,Alemania,"18,492.00",n.d.,n.d.,n.d.,n.d.,"1,663",n.d.,1143611436.445.3,22
227,Grupo GP,Construcción,México,"18,468.00",n.d.,n.d.,n.d.,n.d.,"6,042",n.d.,15533nanana12,-1
228,Banco del Bienestar,Servicios financieros,México,"18,398.00",44.00,173.00,"145,527.00","122,657.00","8,820",0.2,nananananana63.,62
229,La Moderna,Alimentos y bebidas,México,"18,169.40",n.d.,n.d.,n.d.,n.d.,"6,000",n.d.,ndndndndndndnd,-1
230,ENGIE México,Petróleo y gas,Francia,"18,130.00",97.00,"4,789.00","44,563.00","44,563.00","1,639",0.3,116551055040.8,-12
231,Coconal,Construcción,México,"17,706.00","3,872.00","4,666.00","30,270.00","22,209.00","3,326",48.0,6007114.328,-11
232,Elementia Materiales,Cemento,México,"17,654.50",156.20,"1,370.80","19,635.50","10,323.00","5,121",1.7,ndnd3370021,-3
233,Farmacias Benavides,Comercio de medicamentos,México,"17,646.50",131.00,822.70,"8,350.30","7,782.80","7,879",23.1,845070072,-9
234,Conservas La Costeña,Alimentos y bebidas,México,"17,597.00",n.d.,n.d.,n.d.,n.d.,"4,300",n.d.,8113150040,-7
235,Lotería Nacional,Juegos y sorteos,México,"17,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-2
236,Braskem Idesa,Química y petroquímica,Brasil,"17,338.70","(11,325.80)","(1,724.80)","76,446.10","71,757.80",922,(241.6),ndndndndndndnd,8
237,Sociedad Hipotecaria Federal,Servicios financieros,México,"17,206.00","2,348.20","2,053.40","134,486.50","100,246.70",,4206.9,nanananananand,-32
238,Grupo Financiero Multiva,Servicios financieros,México,"17,154.00",942.00,"1,109.00","132,358.00","122,880.00",,9839.9,185181090044.1,-21
239,Nexteer Automotive México,Automotriz y autopartes,Estados Unidos,"17,072.50",n.d.,n.d.,"8,357.20",n.d.,"2,747",n.d.,ndndndndndndnd,0
240,HSBC Seguros,Seguros y fianzas,Reino Unido,"17,020.20",933.00,"(1,071.90)","31,714.50","28,973.50",n.d.,34.0,ndndndndndndnd,89
241,Absormex CMPC Tissue,Productos de consumo,Chile,"16,893.90",n.d.,n.d.,n.d.,n.d.,"4,460",n.d.,ndndnd8337.530.,58
242,NR Finance México,Servicios financieros,México,"16,827.00","3,501.00","4,332.00","121,541.00","84,651.00",,7009.5,ndndnd1200nd,18
243,Coca-Cola México,Bebidas y cervezas,Estados Unidos,"16,800.00",n.d.,n.d.,n.d.,n.d.,400,n.d.,ndndndndndndnd,9
244,Inmobiliaria RUBA,Inmobiliario,México,"16,753.00","1,724.00","2,397.00","23,854.00","10,200.00","1,671",12.6,1321513323.145,10
245,Emerson Electric de México,Electrónica,Estados Unidos,"16,745.30",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-11
246,Pensiones Banorte,Seguros y fianzas,México,"16,606.10","2,827.10","(18,345.40)","275,717.30","265,746.80",n.d.,28.4,ndndndndndndnd,-5
247,Sistemas Automotrices de México,Automotriz y autopartes,México/Estados Unidos,"16,576.00",678.00,"1,161.00","9,796.00","9,796.00",,11417.0,8113822529,n.d.
248,ALPLA México,Química y petroquímica,Austria,"16,549.00",n.d.,n.d.,n.d.,n.d.,"3,019",n.d.,500nanana26.5,-6
249,3M México,Tecnología diversificada,Estados Unidos,"16,289.30",n.d.,n.d.,n.d.,n.d.,"10,500",n.d.,ndndndndndndnd,-12
250,Reaseguradora Patria,Seguros y fianzas,México,"16,271.70","1,003.80",104.70,"36,020.30","32,672.20",,15030.0,ndndndndndndnd,27
251,Grupo Cuprum,Siderurgia y metalurgia,México,"16,174.00",(355.00),"2,399.00","14,502.00","10,723.00","6,506",(9.4),120010026,-5
252,Grupo México,Infraestructura,México,"16,067.00","4,158.00","6,608.00",n.d.,n.d.,"2,766",n.d.,201550021,23
253,Circle K México,Comercio autoservicio,Estados Unidos,"15,898.90",250.00,677.80,"7,409.30","5,689.20","1,353",14.5,ndndnd1119.1nd,15
254,Red de Carreteras de Occidente (RCO),Infraestructura,México,"15,850.00","4,789.00","11,035.00","64,755.00","55,546.00","1,542",52.0,92229111.145.5,-3
255,ABB México,Tecnología diversificada,Suiza/Suecia,"15,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-2
256,Cooper-Standard Automotive de México,Automotriz y autopartes,Estados Unidos,"15,428.80",n.d.,n.d.,"2,236.60",n.d.,n.d.,n.d.,ndndndndndndnd,11
257,Laureate Education México,Servicios educativos,Estados Unidos,"15,419.20",n.d.,n.d.,"20,952.20",n.d.,"17,000",n.d.,ndndndndndndnd,8
258,Grupo Peñafiel,Alimentos y bebidas,Estados Unidos,"15,374.20",n.d.,n.d.,n.d.,n.d.,"5,300",n.d.,ndndndndndndnd,-2
259,Sky,Telecomunicaciones,México/Estados Unidos,"15,337.30",(93.70),"4,672.30","28,286.70","19,508.80","2,400",n.d.,ndndndndndndnd,-38
260,Grupo Acerero,Siderurgia y metalurgia,México,"15,212.00",148.10,910.10,"17,181.00","11,819.00","2,282",2.8,ndnd14ndnd017,n.d.
261,Cydsa,Química y petroquímica,México,"15,039.00",503.80,"2,570.60","34,335.40","19,896.40","2,128",3.5,ndnd016318.825.8,-2
262,Daimler Truck México,Armadora,Alemania,"15,000.00",n.d.,n.d.,n.d.,n.d.,"10,810",n.d.,185287457.112.,94
263,Natura México,Cuidado personal,Brasil,"15,000.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,24
264,Caja Popular Mexicana,Servicios financieros,México,"14,995.00","1,948.00","1,991.00","109,618.00","93,203.00","7,764",11.9,2302215853.350.,95
265,Volkswagen Financial Services,Servicios financieros,Alemania,"14,854.40",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,28
266,Bridgestone de México,Automotriz y autopartes,Japón,"14,800.00",n.d.,n.d.,n.d.,n.d.,"1,400",n.d.,ndndndndndndnd,-8
267,Empresas Cablevisión,Telecomunicaciones,México,"14,628.10",(400.90),(162.00),"28,286.70","8,777.90","5,450",(2.1),ndnd01100nd,-17
268,CIBanco,Servicios financieros,México,"14,511.00",634.00,"1,117.00","146,622.00","140,920.00","3,305",11.1,10019191516.652,20
269,Gestamp,Automotriz y autopartes,España,"14,329.50",n.d.,n.d.,n.d.,n.d.,"3,411",n.d.,ndndndndndndnd,-14
270,Superior Industries de México,Automotriz y autopartes,Estados Unidos,"14,300.70",n.d.,n.d.,"3,165.10",n.d.,"2,600",n.d.,ndndndndndndnd,-8
271,Grupo Omega,Construcción,México,"14,200.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-10
272,Banco Sabadell México,Servicios financieros,España,"14,178.00","1,117.00","1,226.00","143,715.00","126,936.00",,4506.7,491633ndndnd38.,12
273,Betterware de México,Comercio especializado,México,"14,100.80",711.50,"1,686.20","10,466.40","9,303.70","2,334",61.2,ndndnd11218.2nd,0
274,First Cash,Servicios financieros,Estados Unidos,"14,011.50",n.d.,n.d.,n.d.,n.d.,"10,500",n.d.,ndndndndndndnd,-4
275,J.P. Morgan Grupo Financiero,Servicios financieros,Estados Unidos,"14,009.00","4,522.00","5,539.00","223,968.00","190,098.00",,49113.4,421536ndndnd48.3,-4
276,British American Tobacco México,Bebidas alcohólicas y tabaco,Reino Unido,"14,000.00",n.d.,n.d.,n.d.,n.d.,"2,500",n.d.,ndndndndndndnd,-4
277,GM Financial de México,Servicios financieros,Estados Unidos,"13,871.00","2,122.00","3,157.00","89,986.00","76,557.00",,46215.8,ndndndndndndnd,17
278,Zurich México,Seguros y fianzas,Suiza,"13,853.00",235.00,384.00,"20,427.00","18,402.00","1,057",11.6,14642524048.1,18
279,Grupo Accel,Logística y transporte,México,"13,589.30",532.30,974.40,"15,541.20","8,508.20","5,179",7.6,ndndnd10220nd,-1
280,Chirey,Armadora,China,"13,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-71
281,Diconsa,Comercio autoservicio,México,"13,406.80",873.80,"(1,094.70)","6,335.20","4,676.60","4,100",52.7,ndndndndndndnd,-18
282,Operadora de Sites Mexicanos,Telecomunicaciones,México,"13,195.10",857.90,"5,640.10","106,612.70","60,911.40",,2901.9,ndnd0600nd,3
283,Whirlpool México,Electrónica de consumo,Estados Unidos,"13,000.00",n.d.,n.d.,n.d.,n.d.,"10,327",n.d.,2162920041.8,-2
284,Suzuki Motor de México,Armadora,Japón,"13,000.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,18
285,Kellanova,Alimentos y bebidas,Estados Unidos,"12,915.00",n.d.,n.d.,n.d.,n.d.,"2,300",n.d.,ndndndndndndnd,-6
286,HDI Seguros,Seguros y fianzas,Alemania,"12,905.00",459.00,645.00,"23,267.00","20,730.00","1,842",18.1,5001218.352.,36
287,TPI Composites México,Tecnología diversificada,Estados Unidos,"12,771.60",n.d.,"(1,763.60)","2,813.10",n.d.,"7,400",n.d.,ndndndndndndnd,27
288,Waldo’s Dólar Mart de México,Comercio autoservicio,México,"12,756.00",n.d.,n.d.,n.d.,n.d.,"10,574",n.d.,811350057.6,10
289,"Grupo TAFER & Villagroup, Hotels & Resorts",Hotelería y turismo,México,"12,662.00",n.d.,n.d.,n.d.,n.d.,"6,985",n.d.,62336233.341.8,-3
290,AstraZeneca,Química farmacéutica,Reino Unido/Suecia,"12,413.00",n.d.,n.d.,n.d.,n.d.,"2,094",n.d.,1442914428.646,64
291,Intercam Grupo Financiero,Servicios financieros,México,"12,384.00","3,020.00","4,248.00","141,338.00","129,321.00","3,208",25.1,71141516.652,-2
292,GMX Seguros,Seguros y fianzas,México,"12,286.60","1,155.80",360.40,"26,458.90","20,805.20",,40020.4,ndndndndndndnd,-16
293,Productos Roche,Química farmacéutica,Suiza,"12,207.00",476.00,154.00,"11,906.00","6,688.00",,6059.1,ndndndnanana51,17
294,Kentucky Fried Chicken (KFC),Restaurantes,Estados Unidos,"12,200.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,1
295,Nu México,Servicios financieros,Brasil,"12,086.00","1,991.00","3,013.00","102,775.00","93,874.00","1,160",22.4,52408225411,10
296,TV Azteca,Medios de comunicación,México,"12,000.00",n.d.,n.d.,n.d.,n.d.,"1,500",n.d.,ndndndndndndnd,-39
297,Despegar,Comercio electrónico,Argentina,"12,000.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-15
298,JAC,Armadora,China,"12,000.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,26
299,Ferrero de México,Dulces y confitería,Italia,"11,931.00","1,127.00","1,235.00","8,170.00","4,258.00","2,588",28.7,14429512043.,59
300,Sanofi,Química farmacéutica,Francia,"11,897.00",n.d.,n.d.,n.d.,n.d.,"1,335",n.d.,5240524048,-10
301,BBVA Pensiones México,Seguros y fianzas,España,"11,798.00","1,474.00","(13,014.00)","183,593.00","176,104.00",n.d.,19.7,ndndndndndndnd,-37
302,Autotransportes de Carga Tresguerras,Logística y transporte,México,"11,689.00","2,258.00","2,636.00","12,205.00","5,375.00","9,817",24.3,81139000.2,18
303,TC Energía,Electricidad y energía,Canadá,"11,623.20",n.d.,"3,778.10","213,693.20",n.d.,739,n.d.,ndndndndndndnd,-4
304,SAP México,Computación y servicios,Alemania,"11,566.00",n.d.,n.d.,n.d.,n.d.,"1,300",n.d.,331236nanana30.7,15
305,Axtel,Telecomunicaciones,México,"11,556.50",(691.20),"1,334.30","17,236.20","14,885.60","3,831",(29.4),ndnd23110026.3,-2
306,BMW de México,Armadora,Alemania,"11,500.00",n.d.,n.d.,n.d.,n.d.,"3,800",n.d.,ndndndndndndnd,-9
307,Finamex Casa de Bolsa,Servicios financieros,México,"11,451.00",151.00,193.00,"139,200.00","137,282.00",,2567.9,ndndndndndndnd,26
308,Christus Muguerza,Servicios de salud,México,"11,429.00",521.00,936.00,"13,008.00","6,072.00","8,853",7.5,146429222.269,14
309,Rotoplas,Materiales y herramientas,México,"11,200.70",53.50,668.60,"14,952.20","8,242.20","3,502",0.8,7912151521325,-29
310,Herbalife Internacional de México,Productos de consumo,Estados Unidos,"11,149.00",245.00,352.00,"4,355.00","2,736.00","1,885",15.1,1221711436.45,11
311,Interceramic,Materiales y herramientas,México,"11,130.00",(429.00),"1,482.00","14,149.00","15,648.00","5,240",28.6,0009333.370,-27
312,Fonacot,Servicios financieros,México,"11,117.30","3,812.70","3,812.70","58,164.60","28,208.70","1,439",12.7,nanananananand,31
313,Grupo Collado,Siderurgia y metalurgia,México,"11,000.10",(68.70),378.20,"8,025.50","5,440.20","3,762",(2.7),ndnd0200nd,-22
314,Grupomar,Alimentos y bebidas,México,"11,000.00",n.d.,n.d.,n.d.,n.d.,"3,200",n.d.,ndndndndndndnd,12
315,Hermes,Infraestructura,México,"10,880.00","2,055.00","1,541.00","19,250.00","14,010.00","4,598",30.2,811340015,n.d.
316,Cargill,Agroindustria,Estados Unidos,"10,800.00",n.d.,n.d.,n.d.,n.d.,"2,000",n.d.,ndndndndndndnd,-33
317,Grupo Posadas,Hotelería y turismo,México,"10,645.00",(158.70),"1,149.30","22,890.20","18,656.10","16,929",(3.7),ndnd01218.3nd,-4
318,Grupo OMNILIFE-SEYTÚ,Productos de consumo,México,"10,644.00",902.00,922.00,"6,983.00","4,069.00","1,975",31.0,12325425042,-9
319,Novartis México,Química farmacéutica,Suiza,"10,580.00",(17.00),393.00,"5,836.00","5,211.00","1,443",(2.7),2913451033053,26
320,Mitsubishi Motors de México,Armadora,Japón,"10,549.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,30
321,Pfizer México,Química farmacéutica,Estados Unidos,"10,501.00",(144.00),150.00,"12,733.00","10,351.00","1,080",(6.0),371746nanana51.9,-3
322,Canel's,Dulces y confitería,México,"10,500.00",n.d.,n.d.,n.d.,n.d.,"2,700",n.d.,ndndndndndndnd,-15
323,Penske México,Logística y transporte,Estados Unidos,"10,500.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,-8
324,Diageo México,Bebidas alcohólicas y tabaco,Reino Unido,"10,500.00",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndnd1070.751,-7
325,Servicio PanAmericano de Proteccion,Servicios de seguridad,Estados Unidos,"10,500.00",n.d.,n.d.,n.d.,n.d.,"10,500",n.d.,ndndndndndndnd,0
326,Brembo México,Automotriz y autopartes,Italia,"10,479.10",n.d.,212.80,n.d.,n.d.,"1,832",n.d.,ndndndndndndnd,-25
327,Minera Frisco,Minería,México,"10,458.60",(862.60),"2,133.30","32,895.30","24,451.30","3,142",(10.2),ndnd01000nd,17
328,Cetelem,Servicios financieros,Francia,"10,454.00",943.00,"1,266.00","55,793.00","47,329.00",,80011.1,ndndndndndndnd,11
329,Renault México,Armadora,Francia,"10,313.00",175.00,245.00,"3,527.00","2,237.00",,8313.6,845084505,3
330,Ryder Capital,Logística y transporte,Estados Unidos,"10,204.00",n.d.,n.d.,"5,401.00",n.d.,"5,069",n.d.,12217nanana3,76
331,Profuturo Pensiones,Seguros y fianzas,México,"10,175.30",965.10,n.d.,"122,267.00","119,257.90",,22632.1,ndndndndndndnd,34
332,Corporación First Majestic,Minería,Canadá,"10,113.10",n.d.,"1,836.70","21,746.50","4,584.90","3,818",n.d.,ndndndndndndnd,2
333,Dulces de la Rosa,Dulces y confitería,México,"10,000.00",n.d.,n.d.,n.d.,n.d.,"3,300",n.d.,ndndndndndndnd,-17
334,American Tower México,Telecomunicaciones,Estados Unidos,"9,988.00",n.d.,n.d.,"15,747.30",n.d.,n.d.,n.d.,ndndndndndndnd,-30
335,Tupy México,Automotriz y autopartes,Brasil,"9,901.10",n.d.,n.d.,"4,263.00",n.d.,"3,600",n.d.,ndndndndndndnd,-12
336,The Chemours Company Mexico,Química y petroquímica,Estados Unidos,"9,778.00",n.d.,n.d.,n.d.,n.d.,550,n.d.,ndndndndndndnd,-24
337,Javer,Construcción,México,"9,595.90",766.90,"1,572.80","9,810.20","6,281.60","1,591",21.7,ndnd010110nd,5
338,Fábrica de Papel San Francisco,Papel y cartón,México,"9,530.00",n.d.,n.d.,n.d.,n.d.,"2,032",n.d.,10007228.64,-17
339,Global HITSS,Computación y servicios,México,"9,295.00",351.00,667.00,"4,045.00","2,038.00","12,530",17.5,2841480029,12
340,Plexus Electronica,Electrónica,Estados Unidos,"9,274.50",n.d.,n.d.,"1,396.40",n.d.,"2,850",n.d.,ndndndndndndnd,-13
341,Grupo Profuturo,Servicios financieros,México,"9,161.60","3,379.40","4,309.40","138,151.90","125,074.60","4,518",25.8,222980064,20
342,Altán Redes,Telecomunicaciones,México,"9,151.80",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,54
343,Concesionaria Mexiquense,Servicios públicos,Australia,"9,138.00",n.d.,n.d.,n.d.,n.d.,871,n.d.,ndndnd700nd,10
344,OMA (Grupo Aeroportuario del Centro Norte),Servicios aeroportuarios,México,"9,137.00","4,936.20","8,083.20","27,233.10","16,688.80","1,159",46.8,ndnd1711327nd,-3
345,Constructora y Edificadora GIA+A,Construcción,México,"9,054.00",52.00,908.00,"25,001.00","22,341.00","2,216",2.0,161680032,11
346,Ruhrpumpen,Maquinaria y equipo,México,"9,000.00",n.d.,n.d.,n.d.,n.d.,"3,500",n.d.,ndndndndndndnd,0
347,Grupo Minsa,Alimentos y bebidas,México,"8,903.90",336.70,730.80,"12,259.70","9,726.10","1,980",13.3,ndnd01815.6nd,-10
348,Sandvik Mexicana,Materiales y herramientas,Suecia,"8,900.90",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,1
349,Ericsson,Telecomunicaciones,Suecia,"8,820.00",n.d.,n.d.,n.d.,n.d.,"3,000",n.d.,ndndndndndndnd,-9
350,Grupo HYCSA,Construcción,México,"8,671.80",567.60,942.00,"8,915.80","6,483.00","3,249",23.3,ndnd05120nd,18
351,Molymex,Siderurgia y metalurgia,Chile,"8,534.00",n.d.,n.d.,"4,128.80","2,463.70",150,n.d.,ndndndndndndnd,-16
352,AES México,Electricidad y energía,Estados Unidos,"8,468.50",n.d.,n.d.,n.d.,n.d.,215,n.d.,ndndndndndndnd,-22
353,Inmuebles Carso,Inmobiliario,México,"8,464.10","5,283.00","5,864.70","98,568.90","18,532.30","1,066",6.6,ndndndndndndnd,-6
354,Fibra Prologis,Servicios inmobiliarios,México,"8,432.20","23,981.80","5,486.40","192,798.80","48,348.60",n.d.,16.6,ndndnd11327.347,56
355,Toyota Financial Services México,Servicios financieros,Japón,"8,419.80","1,638.70","2,213.10","54,918.90","47,986.90",,10023.6,ndndndndndndnd,17
356,Grupo Pochteca,Química y petroquímica,México,"8,413.30",(240.60),88.50,"5,782.20","4,844.20","1,761",(25.6),ndnd181132739.1,-8
357,Mattel,Juguetes,Estados Unidos,"8,403.60",n.d.,n.d.,n.d.,n.d.,300,n.d.,ndndndndndndnd,-19
358,Playa Hotels & Resorts México,Hotelería y turismo,Países Bajos,"8,394.50",n.d.,n.d.,n.d.,n.d.,"5,900",n.d.,ndndndndndndnd,-6
359,Grupo Restaurantero Gigante,Restaurantes,México,"8,347.10",n.d.,n.d.,n.d.,n.d.,"11,097",n.d.,911130053.,54
360,Grupo Caliente,Juegos y sorteos,México,"8,300.00",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,ndndndndndndnd,10
361,Compusoluciones y Asociados,Computación y servicios,México,"8,224.00",261.00,209.00,"3,469.00","1,765.00",,59415.3,43758112.553,15
